a_p,race,gender,activity_level= 0_Mean,activity_level= 1_Mean,activity_level= 2_Mean,activity_level= 3_Mean,alc_freq= 0_Mean,alc_freq= 1_Mean,alc_freq= 2_Mean,alc_freq= 3_Mean,alc_freq= 4_Mean,alc_freq= 5_Mean,avg_drinks_pday_pstyr=1_Mean,avg_drinks_pday_pstyr=2_Mean,avg_drinks_pday_pstyr=3_Mean,avg_drinks_pday_pstyr=4_Mean,avg_drinks_pday_pstyr=NA_Mean,cholesterol_mg= 0_Mean,cholesterol_mg= 1_Mean,cholesterol_mg= 2_Mean,cholesterol_mg= 3_Mean,cholesterol_mg= 4_Mean,current_smkr=0_Mean,current_smkr=1_Mean,current_smkr=2_Mean,current_smkr=3_Mean,current_smkr=NA_Mean,diabetes= 0_Mean,diabetes= 1_Mean,diabetes= 2_Mean,drinks_perwk_pstyr=1_Mean,drinks_perwk_pstyr=2_Mean,drinks_perwk_pstyr=3_Mean,drinks_perwk_pstyr=4_Mean,drinks_perwk_pstyr=NA_Mean,ever_5_or_more_drinks_a_day=0_Me,ever_5_or_more_drinks_a_day=1_Me,ever_5_or_more_drinks_a_day=2_Me,ever_5_or_more_drinks_a_day=3_Me,ever_5_or_more_drinks_a_day=NA_M,thyroid_d= 0_Mean,thyroid_d= 1_Mean,thyroid_d= 2_Mean,fiber_g=0_Mean,fiber_g=1_Mean,fiber_g=2_Mean,fiber_g=NA_Mean,fruits_veggies_pmo= 0_,fruits_veggies_pmo= 1_,fruits_veggies_pmo= 2_,fruits_veggies_pmo= 3_,fruits_veggies_pmo= 4_,hepA_vacc=0_Mean,hepA_vacc=1_Mean,hepA_vacc=2_Mean,hepA_vacc=3_Mean,hepA_vacc=NA_Mean,hepB_vacc=0_Mean,hepB_vacc=1_Mean,hepB_vacc=2_Mean,hepB_vacc=3_Mean,hepB_vacc=NA_Mean,home_smokers=0_Mean,home_smokers=1_Mean,home_smokers=2_Mean,home_smokers=3_Mean,home_smokers=NA_Mean,meat_freq_pmo= 0_Mean,meat_freq_pmo= 1_Mean,meat_freq_pmo= 2_Mean,meat_freq_pmo= 3_Mean,meat_freq_pmo= 4_Mean,meat_freq_pmo= 5_Mean,protein= 0_Mean,protein= 1_Mean,protein= 2_Mean,protein= 3_Mean,protein= 4_Mean,sat_fatty_acid=0_Mean,sat_fatty_acid=1_Mean,sat_fatty_acid=2_Mean,sat_fatty_acid=3_Mean,sat_fatty_acid=4_Mean,sat_fatty_acid=NA_Mean,still_thyroid_d=0_Mean,still_thyroid_d=1_Mean,still_thyroid_d=2_Mean,still_thyroid_d=3_Mean,still_thyroid_d=NA_Mean,period,rate,age_grp,count,pop
9,1,0,.465412,0,.534588,0,.,.,.,.,.,.,0.427479,0.158304,0.072307,0,0.341909,1,0,0,0,0,0,0.39642,0,0.60358,0,1,0,0,0.041947,0.054319,0.018252,0.025644,0.859837,0.585784,0.072307,0.103224,0.238685,0,1,0,0,0.159106,0,0,0.840894,.,.,.,.,.,0.798458,0.04351,0.108585,0.049447,0,0.769323,0,0.083935,0.146742,0,0.493486,0.506514,0,0,0,.,.,.,.,.,.,.749391,.250609,0,0,0,0.159106,0,0,0,0,0.840894,0,0,0,0,1,6,2.586624,0,16,618567
9,2,0,.468022,0,.531978,0,.,.,.,.,.,.,0.117084,0.294665,0.188789,0.160474,0.238987,1,0,0,0,0,0.029433,0.255217,0,0.71535,0,1,0,0,0.048857,0.056748,0.017215,0.001852,0.875328,0.733799,0.040483,0.065474,0.160245,0,1,0,0,0.339821,0,0,0.660179,.,.,.,.,.,0.804526,0.065687,0.064372,0.065415,0,0.584478,0.084103,0.29318,0.038239,0,0.680851,0.23924,0,0.079909,0,.,.,.,.,.,.,.868869,.131131,0,0,0,0.277643,0.008954,0,0,0,0.713403,0,0,0,0,1,,,,,
9,0,1,.397399,0,.602601,0,.,.,.,.,.,.,0.345964,0.203751,0.063413,0,0.386872,1,0,0,0,0,0.137284,0.353873,0,0.508842,0,1,0,0,0.045817,0.053392,0.017612,0.021708,0.861471,0.618079,0.041714,0.075116,0.265091,0,1,0,0,0.378941,0,0.015137,0.605921,.,.,.,.,.,0.889937,0.00543,0.081215,0.023419,0,0.544753,0.028143,0.389566,0.037538,0,0.60045,0.381905,0,0.017646,0,.,.,.,.,.,.,.725479,.274521,0,0,0,0.212247,0.015137,0,0,0,0.772616,0,0,0,0,1,6,2.359631,0,82,3475119
9,1,1,.788005,0,.211995,0,.,.,.,.,.,.,0.343971,0.034938,0,0,0.621091,.970803,0,2.9197000000000001E-2,0,0,0,0.059119,0,0.940881,0,1,0,0,0.021795,0.028485,0.0101,0.002862,0.936759,0.378909,0,0.260994,0.360097,0,0.929525,0.070475,0,0.284226,0,0,0.715774,.,.,.,.,.,0.69964,0.031479,0.100292,0.168589,0,0.438392,0.01416,0.11644,0.431008,0,1,0,0,0,0,.,.,.,.,.,.,1,0,0,0,0,0.245162,0,0,0,0,0.754838,0,0.070475,0,0,0.929525,6,1.130102,0,8,707901
9,2,1,.562941,0,.437059,0,.,.,.,.,.,.,0.084776,0.305772,0.038857,0.012891,0.557704,.996679,0,0,3.3210000000000002E-3,0,0.044748,0.102086,0,0.853166,0,1,0,0,0.047604,0.032055,0.013836,0.016435,0.89007,0.647936,0,0.052752,0.299312,0,0.987109,0.012891,0,0.264853,0,0,0.735147,.,.,.,.,.,0.848878,0.001396,0.084472,0.065254,0,0.448029,0.178897,0.213637,0.159437,0,0.850458,0.145395,0,0.004148,0,.,.,.,.,.,.,.456239,.543761,0,0,0,0.116802,0.012805,0,0,0,0.870393,0,0.012891,0,0,0.987109,,,,,
10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2.681819,0,101,3766100
10,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2.386037,0,16,670568
10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2.978274,0,106,3559108
10,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2.591143,0,19,733267
15,0,0,.10095,.363109,.535941,0,8.0871999999999999E-2,5.9936999999999997E-2,.408264,.251665,.199262,0,0,0,0,0,1,0,.213321,.25602,.217821,.312838,0,0,0,0,1,0.993201,0.006799,0,0,0,0,0,1,0,0,0,0,1,0.983563,0.011198,0.005239,0,0,0,1,0,9.0899999999999998E-4,7.5042999999999999E-2,.904523,1.9525000000000001E-2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,6.398E-3,0,0,.106339,.867738,1.9525000000000001E-2,0,5.5029000000000002E-2,.111881,.249906,.583183,0.005068,0.05641,0.119276,0.256451,0.544818,0.017978,0,0,0,0,1,0,3.471316,1,114,3284057
